ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100_1A,PS100_1M,PS100_1S,PS3
2021,      015712701,5,157,127,1,1,0,2,1
2021,      015902201,1,159,22,1,6,0,2,1
2021,      016001701,1,160,17,1,4,3,2,1
2021,      016003101,1,160,31,1,5,3,1,1
2021,      016003101,2,160,31,1,3,3,2,2
2021,      016200801,4,162,8,1,6,0,2,1
2021,      016200901,1,162,9,1,3,1,2,1
2021,      016204301,1,162,43,1,5,2,2,1
2021,      016508901,1,165,89,1,4,0,2,1
2021,      016603701,8,166,37,1,0,98,2,1
2021,      016608801,1,166,88,1,2,4,2,1
2021,      016706101,1,167,61,1,2,0,2,1
2021,      016709801,1,167,98,1,1,3,2,1
2021,      019202301,1,192,23,1,1,6,2,1
2021,      019402601,2,194,26,1,0,6,2,1
2021,      019712201,5,197,122,1,1,0,2,1
2021,      021406501,1,214,65,1,98,98,1,1
2021,      021406501,2,214,65,1,98,98,2,2
2021,      022501401,7,225,14,1,2,0,2,1
2021,      022600901,1,226,9,1,3,2,1,1
2021,      022600901,2,226,9,1,8,2,2,2
2021,      022700801,1,227,8,1,7,2,2,1
2021,      022701801,1,227,18,1,1,4,2,1
2021,      023610601,6,236,106,1,2,0,2,1
2021,      024608101,6,246,81,1,4,0,2,1
2021,      025007801,5,250,78,1,0,7,2,1
2021,      025801301,1,258,13,1,5,0,2,1
2021,      025807301,1,258,73,1,3,0,2,1
2021,      025900801,1,259,8,1,6,0,2,1
2021,      026204201,1,262,42,1,3,1,2,1
2021,      026604601,1,266,46,1,2,0,2,1
2021,      026606101,1,266,61,1,5,0,2,1
2021,      026803001,1,268,30,1,1,2,2,1
2021,      026906701,2,269,67,1,2,0,1,1
2021,      026906701,3,269,67,1,1,0,2,2
2021,      026907301,4,269,73,1,4,0,2,1
2021,      027002801,1,270,28,1,6,0,1,1
2021,      027002801,2,270,28,1,4,0,2,2
2021,      027101301,1,271,13,1,3,0,2,1
2021,      027103401,4,271,34,1,5,1,2,1
2021,      027200101,1,272,1,1,6,0,2,1
2021,      027200501,1,272,5,1,2,0,1,1
2021,      027200501,2,272,5,1,2,0,2,2
2021,      027208601,5,272,86,1,4,0,2,1
2021,      027400801,1,274,8,1,8,0,2,1
2021,      027400901,1,274,9,1,5,1,2,1
2021,      027403001,1,274,30,1,8,1,2,1
2021,      027500501,1,275,5,1,98,98,2,1
2021,      027501101,1,275,11,1,1,0,2,1
2021,      027505201,1,275,52,1,4,9,2,1
2021,      027607401,1,276,74,1,5,3,2,1
2021,      027908501,6,279,85,1,5,0,2,1
2021,      028001001,1,280,10,1,7,3,2,1
2021,      028001801,1,280,18,1,0,10,2,1
2021,      028100601,3,281,6,1,8,2,2,1
2021,      028103901,5,281,39,1,3,2,2,1
2021,      028202501,5,282,25,1,6,2,2,1
2021,      028202901,1,282,29,1,3,3,1,1
2021,      028202901,2,282,29,1,3,3,2,2
2021,      028205101,1,282,51,1,5,2,1,1
2021,      028205101,2,282,51,1,5,2,2,2
2021,      028205301,1,282,53,1,6,2,1,1
2021,      028205301,2,282,53,1,8,2,2,2
2021,      028205501,1,282,55,1,3,8,1,1
2021,      028205501,2,282,55,1,5,0,2,2
2021,      028305501,1,283,55,1,2,4,1,1
2021,      028305501,2,283,55,1,2,4,2,2
2021,      028409801,1,284,98,1,1,0,2,1
2021,      028507001,1,285,70,1,2,0,2,1
2021,      028703101,4,287,31,1,4,0,2,1
2021,      028705401,1,287,54,1,2,0,2,1
2021,      028800601,1,288,6,1,5,0,2,1
2021,      028800801,1,288,8,1,6,0,2,1
2021,      028801001,2,288,10,1,5,0,2,1
2021,      028803801,1,288,38,1,4,0,2,1
2021,      028805101,1,288,51,1,4,0,2,1
2021,      028901001,1,289,10,1,2,0,2,1
2021,      029000701,1,290,7,1,8,0,2,1
2021,      029100501,1,291,5,1,2,0,1,1
2021,      029100501,2,291,5,1,3,0,2,2
2021,      029104001,1,291,40,1,3,0,2,1
2021,      029201101,5,292,11,1,98,98,2,1
2021,      029202701,1,292,27,1,5,0,1,1
2021,      029202701,2,292,27,1,5,0,2,2
2021,      029203601,1,292,36,1,5,0,2,1
2021,      029206501,1,292,65,1,5,0,2,1
2021,      029206601,1,292,66,1,8,0,2,1
2021,      029300101,7,293,1,1,2,0,2,1
2021,      029300801,7,293,8,1,2,4,2,1
2021,      029402701,1,294,27,1,4,0,2,1
2021,      029501001,1,295,10,1,98,98,2,1
2021,      029502101,1,295,21,1,98,98,2,1
2021,      029703601,8,297,36,1,5,0,2,1
2021,      030700701,5,307,7,1,98,98,2,1
2021,      031204401,1,312,44,1,3,4,2,1
2021,      031401601,9,314,16,1,0,6,2,1
2021,      031501101,1,315,11,1,3,98,1,1
2021,      031501101,2,315,11,1,3,98,2,2
2021,      032106801,1,321,68,1,3,2,2,1
2021,      032107001,1,321,70,1,3,98,2,1
2021,      032202601,1,322,26,1,1,2,1,1
2021,      032202601,2,322,26,1,0,5,2,2
2021,      032204601,1,322,46,1,2,6,2,1
2021,      032204801,4,322,48,1,1,0,2,1
2021,      032305801,4,323,58,1,5,0,2,1
2021,      032401401,4,324,14,1,2,0,2,1
2021,      032413801,1,324,138,1,4,6,2,1
2021,      032509301,2,325,93,1,5,98,2,1
2021,      032509601,1,325,96,1,1,0,1,1
2021,      032509601,2,325,96,1,2,98,2,2
2021,      032600101,1,326,1,1,3,5,1,1
2021,      032600101,2,326,1,1,3,5,2,2
2021,      032600401,1,326,4,1,2,7,2,1
2021,      032607801,1,326,78,1,2,0,2,1
2021,      032607901,4,326,79,1,1,5,2,1
2021,      032703101,1,327,31,1,8,98,2,1
