ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS104_1A,PS104_1M,PS104_1S,PS5
2021,      032802301,2,328,23,1,11,98,2,1
2021,      032802401,10,328,24,1,1,0,2,1
2021,      033304601,2,333,46,1,10,0,2,1
2021,      033304901,1,333,49,1,1,4,2,1
2021,      033305001,2,333,50,1,10,0,2,1
2021,      033706901,2,337,69,1,12,98,2,1
2021,      033707001,2,337,70,1,8,0,2,1
2021,      033707201,2,337,72,1,19,0,2,1
2021,      033708901,2,337,89,1,19,0,2,1
2021,      033709101,2,337,91,1,19,0,2,1
2021,      033709201,2,337,92,1,19,98,2,1
2021,      033709301,3,337,93,1,4,6,2,1
2021,      033710701,1,337,107,1,5,6,2,1
2021,      033710801,5,337,108,1,12,0,2,1
2021,      033710901,2,337,109,1,10,5,2,1
2021,      033711001,6,337,110,1,6,0,2,1
2021,      034009301,2,340,93,1,0,6,2,1
2021,      034009501,4,340,95,1,0,9,2,1
2021,      035003301,5,350,33,1,1,0,2,1
2021,      035003901,2,350,39,1,1,0,2,1
2021,      035204501,2,352,45,1,4,5,2,1
2021,      037008401,2,370,84,1,3,10,2,1
2021,      037014301,1,370,143,1,1,3,2,1
2021,      037609002,2,376,90,2,0,6,2,1
2021,      037700101,1,377,1,1,0,2,2,1
2021,      037706401,1,377,64,1,3,0,2,1
2021,      037710701,1,377,107,1,1,6,1,1
2021,      037710701,2,377,107,1,1,6,1,2
2021,      037710701,3,377,107,1,1,6,1,3
2021,      037710701,5,377,107,1,1,6,2,4
2021,      037808101,2,378,81,1,1,5,2,1
2021,      038103001,2,381,30,1,1,1,2,1
2021,      038610601,1,386,106,1,17,10,2,1
2021,      040112301,1,401,123,1,18,0,2,1
2021,      040902201,1,409,22,1,11,3,2,1
2021,      043201301,2,432,13,1,3,2,2,1
2021,      043400501,2,434,5,1,2,0,2,1
2021,      045000101,1,450,1,1,4,6,2,1
2021,      045000201,1,450,2,1,3,5,2,1
2021,      045000301,1,450,3,1,4,6,2,1
2021,      045000401,2,450,4,1,0,6,2,1
2021,      045000501,1,450,5,1,4,6,2,1
2021,      045000601,1,450,6,1,14,3,2,1
2021,      045000701,1,450,7,1,12,2,2,1
2021,      045000901,2,450,9,1,6,6,2,1
2021,      045001001,2,450,10,1,9,5,2,1
2021,      045501001,2,455,10,1,2,0,2,1
2021,      045501801,1,455,18,1,2,0,2,1
2021,      046506801,2,465,68,1,3,0,2,1
2021,      046610501,1,466,105,1,3,4,2,1
2021,      048302301,2,483,23,1,0,3,2,1
2021,      048802901,1,488,29,1,0,2,2,1
2021,      048806501,2,488,65,1,9,2,2,1
2021,      048806801,2,488,68,1,1,0,2,1
2021,      048807001,2,488,70,1,0,2,2,1
2021,      048807201,2,488,72,1,3,0,2,1
2021,      048807301,1,488,73,1,5,3,2,1
2021,      049709801,2,497,98,1,15,0,2,1
2021,      049800501,2,498,5,1,2,0,2,1
2021,      049801301,1,498,13,1,0,1,2,1
2021,      049801401,2,498,14,1,1,0,2,1
2021,      049801501,2,498,15,1,8,1,2,1
2021,      049802701,2,498,27,1,5,0,2,1
2021,      049903501,2,499,35,1,1,6,2,1
2021,      050000701,1,500,7,1,2,3,2,1
2021,      050000901,3,500,9,1,3,3,2,1
2021,      050002401,1,500,24,1,9,2,2,1
2021,      050002901,2,500,29,1,5,0,2,1
2021,      050004301,2,500,43,1,12,6,2,1
2021,      050101001,2,501,10,1,19,4,2,1
2021,      050109501,1,501,95,1,19,4,2,1
2021,      050301301,2,503,13,1,19,0,2,1
2021,      050301401,1,503,14,1,1,0,2,1
2021,      050302601,2,503,26,1,19,11,2,1
2021,      050303401,2,503,34,1,15,98,2,1
2021,      050303501,2,503,35,1,10,98,2,1
2021,      050303601,2,503,36,1,98,98,2,1
2021,      050400201,1,504,2,1,0,4,2,1
2021,      050604501,2,506,45,1,19,5,2,1
2021,      050606601,2,506,66,1,0,5,2,1
2021,      050606701,1,506,67,1,10,5,2,1
2021,      050608501,2,506,85,1,1,2,2,1
2021,      050608601,2,506,86,1,6,5,2,1
2021,      050608701,2,506,87,1,1,2,2,1
2021,      050608801,1,506,88,1,1,0,2,1
2021,      050702701,1,507,27,1,0,1,2,1
2021,      050706501,2,507,65,1,5,4,2,1
2021,      051001001,2,510,10,1,0,1,2,1
2021,      051001701,2,510,17,1,3,2,2,1
2021,      051005001,2,510,50,1,15,0,2,1
2021,      051005601,2,510,56,1,1,0,2,1
2021,      051006301,1,510,63,1,10,0,2,1
2021,      051101101,1,511,11,1,0,1,2,1
2021,      051102301,2,511,23,1,12,0,2,1
2021,      051200101,2,512,1,1,1,6,2,1
2021,      051202901,2,512,29,1,0,3,2,1
2021,      051800201,2,518,2,1,5,98,2,1
2021,      051800301,2,518,3,1,2,0,2,1
