ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS107_1A,PS107_1M,PS107_1S,PS6
2021,      133408801,4,1334,88,1,0,5,2,1
2021,      134902501,3,1349,25,1,0,8,2,1
2021,      135112701,2,1351,127,1,2,5,2,1
2021,      135704801,3,1357,48,1,2,0,2,1
2021,      136004101,7,1360,41,1,1,10,2,1
2021,      144506701,4,1445,67,1,1,0,2,1
2021,      144509401,3,1445,94,1,0,3,2,1
2021,      144805601,3,1448,56,1,0,4,2,1
2021,      146411001,3,1464,110,1,0,9,2,1
2021,      148503901,4,1485,39,1,1,4,2,1
2021,      149401001,2,1494,10,1,1,5,2,1
2021,      149405801,3,1494,58,1,0,5,2,1
2021,      152102501,4,1521,25,1,0,11,2,1
2021,      152307701,3,1523,77,1,1,1,2,1
2021,      152501601,4,1525,16,1,1,1,2,1
2021,      152601001,3,1526,10,1,1,1,2,1
2021,      152601501,3,1526,15,1,0,5,2,1
2021,      153203501,5,1532,35,1,1,4,2,1
2021,      154105901,8,1541,59,1,1,4,2,1
2021,      154609201,3,1546,92,1,0,5,2,1
2021,      154803301,3,1548,33,1,1,4,2,1
2021,      154804001,4,1548,40,1,0,6,2,1
2021,      154804601,3,1548,46,1,0,1,2,1
2021,      155105901,6,1551,59,1,1,2,2,1
2021,      155205001,2,1552,50,1,0,8,2,1
2021,      155403501,5,1554,35,1,1,5,2,1
2021,      155404501,5,1554,45,1,1,1,2,1
2021,      155810101,4,1558,101,1,1,1,2,1
2021,      157004201,4,1570,42,1,0,6,2,1
2021,      157101501,10,1571,15,1,0,4,1,1
2021,      157101501,11,1571,15,1,0,8,2,2
2021,      157602801,5,1576,28,1,1,6,2,1
2021,      158905801,6,1589,58,1,0,1,2,1
2021,      163614401,3,1636,144,1,2,0,2,1
2021,      163806301,3,1638,63,1,0,2,2,1
2021,      166507201,4,1665,72,1,1,0,2,1
2021,      169209901,4,1692,99,1,0,10,2,1
2021,      174402401,6,1744,24,1,1,0,2,1
2021,      174507001,3,1745,70,1,0,8,2,1
2021,      176308201,3,1763,82,1,0,2,2,1
2021,      176406901,5,1764,69,1,0,6,2,1
2021,      176823701,5,1768,237,1,1,6,2,1
2021,      177200601,4,1772,6,1,0,7,2,1
2021,      177506801,3,1775,68,1,1,0,2,1
2021,      177509901,5,1775,99,1,0,2,2,1
2021,      177906301,4,1779,63,1,1,8,2,1
2021,      178203501,4,1782,35,1,1,6,2,1
2021,      183802001,5,1838,20,1,1,11,2,1
